pm_project_id,as_of_date,cost_code,physical_progress_pct,source,comment
PC-7688,2026-07-29,230200,53,PM update,current snapshot
PC-7688,2026-06-30,230300,50,PM update,prior snapshot
PC-7688,2026-07-29,230300,56,PM update,current snapshot
PC-7688,2026-06-30,230400,37,PM update,prior snapshot
PC-7688,2026-07-29,230400,47,PM update,current snapshot
PC-7688,2026-06-30,230500,38,PM update,prior snapshot
PC-7688,2026-07-29,230500,47,PM update,current snapshot
PC-7688,2026-06-30,230600,33,PM update,prior snapshot
PC-7688,2026-07-29,230600,44,PM update,current snapshot
PC-7688,2026-06-30,230700,40,PM update,prior snapshot
PC-7688,2026-07-29,230700,47,PM update,current snapshot
PC-7688,2026-06-30,230800,37,PM update,prior snapshot
PC-7688,2026-07-29,230800,46,PM update,current snapshot
PC-7688,2026-06-30,230900,40,PM update,prior snapshot
PC-7688,2026-07-29,230900,47,PM update,current snapshot
PC-7688,2026-06-30,239900,34,PM update,prior snapshot
PC-7688,2026-07-29,239900,44,PM update,current snapshot
PC-7588,2026-06-30,220100,55,PM update,prior snapshot
PC-7588,2026-07-29,220100,61,PM update,current snapshot
PC-7588,2026-06-30,220200,64,PM update,prior snapshot
PC-7588,2026-07-29,220200,70,PM update,current snapshot
PC-7588,2026-06-30,220300,65,PM update,prior snapshot
PC-7588,2026-07-29,220300,76,PM update,current snapshot
PC-7588,2026-06-30,220400,58,PM update,prior snapshot
PC-7588,2026-07-29,220400,64,PM update,current snapshot
PC-7588,2026-06-30,220500,51,PM update,prior snapshot
PC-7588,2026-07-29,220500,63,PM update,current snapshot
PC-7588,2026-06-30,220600,57,PM update,prior snapshot
PC-7588,2026-07-29,220600,64,PM update,current snapshot
PC-7588,2026-06-30,220700,68,PM update,prior snapshot
PC-7588,2026-07-29,220700,77,PM update,current snapshot
PC-7588,2026-06-30,220800,67,PM update,prior snapshot
PC-7588,2026-07-29,220800,73,PM update,current snapshot
PC-7588,2026-06-30,220900,50,PM update,prior snapshot
PC-7588,2026-07-29,220900,100,PM update,Field work reported complete; closeout cost remains
PC-7588,2026-06-30,229900,56,PM update,prior snapshot
PC-7588,2026-07-29,229900,63,PM update,current snapshot
PC-7791,2026-06-30,229950,0,PM update,unused cost code
PC-7791,2026-07-29,229950,0,PM update,unused cost code
