invoice_id,vendor_id,invoice_number,invoice_date,approved_date,erp_job_id,cost_code,commitment_id,invoice_amount,approval_status,posting_status,description
INV-00071,V-G02,V-G02-00071,2026-07-10,2026-07-11,J-24008,230900,PO-0036,30160.0,approved,posted,Testing / Balancing package
INV-00072,V-G02,V-G02-00072,2026-07-15,2026-07-16,J-24008,230900,PO-0036,27840.0,approved,posted,Testing / Balancing package
INV-00073,V-G02,V-G02-00073,2026-07-10,2026-07-11,J-24008,239900,PO-0037,40040.0,approved,posted,Other Direct Cost package
INV-00074,V-G02,V-G02-00074,2026-07-15,2026-07-16,J-24008,239900,PO-0037,36960.0,approved,posted,Other Direct Cost package
INV-00075,V-P03,V-P03-00075,2026-07-10,2026-07-11,J-23955,220300,PO-0038,113100.0,approved,posted,Domestic Water Piping package
INV-00076,V-P03,V-P03-00076,2026-07-15,2026-07-16,J-23955,220300,PO-0038,104400.0,approved,posted,Domestic Water Piping package
INV-00077,V-G01,V-G01-00077,2026-07-10,2026-07-11,J-23955,220400,PO-0039,160680.0,approved,posted,Sanitary / Storm Piping package
INV-00078,V-G01,V-G01-00078,2026-07-15,2026-07-16,J-23955,220400,PO-0039,148320.0,approved,posted,Sanitary / Storm Piping package
INV-00079,V-G01,V-G01-00079,2026-07-10,2026-07-11,J-23955,220500,PO-0040,145340.0,approved,posted,Fixtures package
INV-00080,V-G01,V-G01-00080,2026-07-15,2026-07-16,J-23955,220500,PO-0040,134160.0,approved,posted,Fixtures package
INV-00081,V-P03,V-P03-00081,2026-07-10,2026-07-11,J-23955,220600,PO-0041,127400.0,approved,posted,Pumps / Equipment package
INV-00082,V-P03,V-P03-00082,2026-07-15,2026-07-16,J-23955,220600,PO-0041,117600.0,approved,posted,Pumps / Equipment package
INV-00083,V-G01,V-G01-00083,2026-07-10,2026-07-11,J-23955,220700,PO-0042,65260.0,approved,posted,Specialty Systems package
INV-00084,V-G01,V-G01-00084,2026-07-15,2026-07-16,J-23955,220700,PO-0042,60240.0,approved,posted,Specialty Systems package
INV-00085,V-G01,V-G01-00085,2026-07-10,2026-07-11,J-23955,220800,PO-0043,39780.0,approved,posted,Hangers / Supports package
INV-00086,V-G01,V-G01-00086,2026-07-15,2026-07-16,J-23955,220800,PO-0043,36720.0,approved,posted,Hangers / Supports package
INV-00087,V-G02,V-G02-00087,2026-07-10,2026-07-11,J-23955,229900,PO-0044,58760.0,approved,posted,Other Direct Cost package
INV-00088,V-G02,V-G02-00088,2026-07-15,2026-07-16,J-23955,229900,PO-0044,54240.0,approved,posted,Other Direct Cost package
INV-00089,V-E03,V-E03-00001,2026-07-19,2026-07-20,J-24017,260300,PO-0001,75920.0,approved,approved_unposted,Feeders & Distribution package
INV-00090,V-G01,OVER-COMMIT-1004,2026-07-26,2026-07-29,J-23874,260300,PO-0023,339500.0,approved,approved_unposted,Invoice pushes cumulative approved invoices over PO
INV-00091,V-G01,MISC-P-1001-1,2026-07-07,2026-07-08,J-24017,269900,,9499.21,approved,posted,Rental / miscellaneous field cost
INV-00092,V-G01,MISC-P-1001-2,2026-07-14,2026-07-15,J-24017,269900,,11367.47,approved,posted,Rental / miscellaneous field cost
INV-00093,V-G01,MISC-P-1001-3,2026-07-21,2026-07-22,J-24017,269900,,21456.94,approved,posted,Rental / miscellaneous field cost
INV-00094,V-G01,MISC-P-1002-1,2026-07-07,2026-07-08,J-23981,239900,,12816.42,approved,posted,Rental / miscellaneous field cost
INV-00095,V-G01,MISC-P-1002-2,2026-07-14,2026-07-15,J-23981,239900,,21461.22,approved,posted,Rental / miscellaneous field cost
INV-00096,V-G01,MISC-P-1002-3,2026-07-21,2026-07-22,J-23981,239900,,17040.29,approved,posted,Rental / miscellaneous field cost
INV-00097,V-G01,MISC-P-1003-1,2026-07-07,2026-07-08,J-24042,229900,,18047.72,approved,posted,Rental / miscellaneous field cost
INV-00098,V-G01,MISC-P-1003-2,2026-07-14,2026-07-15,J-24042,229900,,9387.46,approved,posted,Rental / miscellaneous field cost
INV-00099,V-G01,MISC-P-1003-3,2026-07-21,2026-07-22,J-24042,229900,,15553.26,approved,posted,Rental / miscellaneous field cost
INV-00100,V-G01,MISC-P-1004-1,2026-07-07,2026-07-08,J-23874,269900,,23872.49,approved,posted,Rental / miscellaneous field cost
INV-00101,V-G01,MISC-P-1004-2,2026-07-14,2026-07-15,J-23874,269900,,23754.89,approved,posted,Rental / miscellaneous field cost
INV-00102,V-G01,MISC-P-1004-3,2026-07-21,2026-07-22,J-23874,269900,,16767.47,approved,posted,Rental / miscellaneous field cost
INV-00103,V-G01,MISC-P-1005-1,2026-07-07,2026-07-08,J-24008,239900,,18459.62,approved,posted,Rental / miscellaneous field cost
INV-00104,V-G01,MISC-P-1005-2,2026-07-14,2026-07-15,J-24008,239900,,16584.07,approved,posted,Rental / miscellaneous field cost
INV-00105,V-G01,MISC-P-1005-3,2026-07-21,2026-07-22,J-24008,239900,,10830.32,approved,posted,Rental / miscellaneous field cost
INV-00106,V-G01,MISC-P-1006-1,2026-07-07,2026-07-08,J-23955,229900,,10269.25,approved,posted,Rental / miscellaneous field cost
INV-00107,V-G01,MISC-P-1006-2,2026-07-14,2026-07-15,J-23955,229900,,11134.32,approved,posted,Rental / miscellaneous field cost
INV-00108,V-G01,MISC-P-1006-3,2026-07-21,2026-07-22,J-23955,229900,,13450.22,approved,posted,Rental / miscellaneous field cost
INV-00109,V-P01,PENDING-TEST-001,2026-07-30,,J-24042,220500,PO-0018,8000.0,pending,pending_approval,Pending fixture invoice - negative control
