job_cost_txn_id,erp_job_id,posting_date,accounting_period,cost_code,cost_type,amount,source_type,source_doc_id,description
JC-00054,J-23955,2026-04-30,2026-04,220500,Material,7764.0,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00055,J-23955,2026-04-30,2026-04,220700,Subcontract,2426.4,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00056,J-23955,2026-04-30,2026-04,220800,Material,6973.2,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00057,J-23955,2026-04-30,2026-04,220900,Labor,30697.6,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00058,J-23955,2026-04-30,2026-04,229900,Other,4820.4,Payroll,PR-P-1006-2026-04,Monthly payroll allocation
JC-00059,J-23981,2026-04-30,2026-04,230100,Labor,47124.8,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00060,J-23981,2026-04-30,2026-04,230200,Labor,148277.2,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00061,J-23981,2026-04-30,2026-04,230300,Labor/Material,50727.6,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00062,J-23981,2026-04-30,2026-04,230400,Labor/Material,52709.2,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00063,J-23981,2026-04-30,2026-04,230600,Subcontract,4446.0,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00064,J-23981,2026-04-30,2026-04,230700,Subcontract,2581.2,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00065,J-23981,2026-04-30,2026-04,230800,Material,11315.6,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00066,J-23981,2026-04-30,2026-04,230900,Subcontract,3367.2,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00067,J-23981,2026-04-30,2026-04,239900,Other,5304.0,Payroll,PR-P-1002-2026-04,Monthly payroll allocation
JC-00068,J-24008,2026-04-30,2026-04,230100,Labor,28135.2,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00069,J-24008,2026-04-30,2026-04,230200,Labor,88596.0,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00070,J-24008,2026-04-30,2026-04,230300,Labor/Material,27070.0,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00071,J-24008,2026-04-30,2026-04,230400,Labor/Material,23286.8,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00072,J-24008,2026-04-30,2026-04,230600,Subcontract,1548.0,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00073,J-24008,2026-04-30,2026-04,230700,Subcontract,1116.0,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00074,J-24008,2026-04-30,2026-04,230800,Material,5670.0,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00075,J-24008,2026-04-30,2026-04,230900,Subcontract,1918.8,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00076,J-24008,2026-04-30,2026-04,239900,Other,2714.4,Payroll,PR-P-1005-2026-04,Monthly payroll allocation
JC-00077,J-24017,2026-04-30,2026-04,260100,Labor,48103.6,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00078,J-24017,2026-04-30,2026-04,260200,Labor,145676.2,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00079,J-24017,2026-04-30,2026-04,260300,Labor/Material,27638.0,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00080,J-24017,2026-04-30,2026-04,260400,Labor/Material,43933.8,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00081,J-24017,2026-04-30,2026-04,260500,Labor/Material,24777.3,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00082,J-24017,2026-04-30,2026-04,260700,Subcontract,2356.8,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00083,J-24017,2026-04-30,2026-04,260800,Other,4248.0,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00084,J-24017,2026-04-30,2026-04,260900,Labor,25933.8,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00085,J-24017,2026-04-30,2026-04,269900,Other,2676.3,Payroll,PR-P-1001-2026-04,Monthly payroll allocation
JC-00086,J-24042,2026-04-30,2026-04,220100,Labor,24846.4,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00087,J-24042,2026-04-30,2026-04,220200,Labor,79907.2,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00088,J-24042,2026-04-30,2026-04,220300,Labor/Material,20722.4,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00089,J-24042,2026-04-30,2026-04,220400,Labor/Material,19416.8,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00090,J-24042,2026-04-30,2026-04,220500,Material,3628.8,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00091,J-24042,2026-04-30,2026-04,220700,Subcontract,820.8,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00092,J-24042,2026-04-30,2026-04,220800,Material,2172.4,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00093,J-24042,2026-04-30,2026-04,220900,Labor,11091.2,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00094,J-24042,2026-04-30,2026-04,229900,Other,1450.8,Payroll,PR-P-1003-2026-04,Monthly payroll allocation
JC-00095,J-23874,2026-05-26,2026-05,260300,Labor/Material,108386.08,Other,HIST-P-1004-260300-5,Historical Feeders & Distribution cost
JC-00096,J-23874,2026-05-26,2026-05,260400,Labor/Material,49750.92,Other,HIST-P-1004-260400-5,Historical Branch Wiring cost
JC-00097,J-23874,2026-05-26,2026-05,260500,Labor/Material,71630.51,Other,HIST-P-1004-260500-5,Historical Lighting cost
JC-00098,J-23874,2026-05-26,2026-05,260600,Equipment,105526.35,Other,HIST-P-1004-260600-5,Historical Switchgear cost
JC-00099,J-23874,2026-05-26,2026-05,260700,Subcontract,40872.92,Other,HIST-P-1004-260700-5,Historical Controls / Low Voltage cost
JC-00100,J-23874,2026-05-26,2026-05,260800,Other,32150.56,Other,HIST-P-1004-260800-5,Historical Temporary Power cost
JC-00101,J-23874,2026-05-26,2026-05,269900,Other,32155.6,Other,HIST-P-1004-269900-5,Historical Other Direct Cost cost
JC-00102,J-23955,2026-05-26,2026-05,220300,Labor/Material,95111.94,Other,HIST-P-1006-220300-5,Historical Domestic Water Piping cost
JC-00103,J-23955,2026-05-26,2026-05,220400,Labor/Material,25088.17,Other,HIST-P-1006-220400-5,Historical Sanitary / Storm Piping cost
JC-00104,J-23955,2026-05-26,2026-05,220500,Material,23384.23,Other,HIST-P-1006-220500-5,Historical Fixtures cost
JC-00105,J-23955,2026-05-26,2026-05,220600,Equipment,7465.36,Other,HIST-P-1006-220600-5,Historical Pumps / Equipment cost
JC-00106,J-23955,2026-05-26,2026-05,220700,Subcontract,34224.99,Other,HIST-P-1006-220700-5,Historical Specialty Systems cost
JC-00107,J-23955,2026-05-26,2026-05,220800,Material,32121.11,Other,HIST-P-1006-220800-5,Historical Hangers / Supports cost
JC-00108,J-23955,2026-05-26,2026-05,229900,Other,15697.29,Other,HIST-P-1006-229900-5,Historical Other Direct Cost cost
JC-00109,J-23981,2026-05-26,2026-05,230300,Labor/Material,23290.89,Other,HIST-P-1002-230300-5,Historical Ductwork cost
JC-00110,J-23981,2026-05-26,2026-05,230400,Labor/Material,54767.54,Other,HIST-P-1002-230400-5,Historical Hydronic Piping cost
JC-00111,J-23981,2026-05-26,2026-05,230500,Equipment,90184.06,Other,HIST-P-1002-230500-5,Historical Air Handling Equipment cost
JC-00112,J-23981,2026-05-26,2026-05,230600,Subcontract,53705.16,Other,HIST-P-1002-230600-5,Historical Controls cost
JC-00113,J-23981,2026-05-26,2026-05,230700,Subcontract,7912.97,Other,HIST-P-1002-230700-5,Historical Insulation cost
JC-00114,J-23981,2026-05-26,2026-05,230800,Material,15399.03,Other,HIST-P-1002-230800-5,Historical Sheet Metal Fabrication cost
JC-00115,J-23981,2026-05-26,2026-05,230900,Subcontract,9306.67,Other,HIST-P-1002-230900-5,Historical Testing / Balancing cost
JC-00116,J-24008,2026-05-26,2026-05,230300,Labor/Material,28034.71,Other,HIST-P-1005-230300-5,Historical Ductwork cost
JC-00117,J-24008,2026-05-26,2026-05,230400,Labor/Material,2967.46,Other,HIST-P-1005-230400-5,Historical Hydronic Piping cost
JC-00118,J-24008,2026-05-26,2026-05,230500,Equipment,46867.8,Other,HIST-P-1005-230500-5,Historical Air Handling Equipment cost
JC-00119,J-24008,2026-05-26,2026-05,230600,Subcontract,7424.03,Other,HIST-P-1005-230600-5,Historical Controls cost
JC-00120,J-24008,2026-05-26,2026-05,230700,Subcontract,1892.98,Other,HIST-P-1005-230700-5,Historical Insulation cost
JC-00121,J-24008,2026-05-26,2026-05,230800,Material,12038.79,Other,HIST-P-1005-230800-5,Historical Sheet Metal Fabrication cost
JC-00122,J-24008,2026-05-26,2026-05,230900,Subcontract,2516.52,Other,HIST-P-1005-230900-5,Historical Testing / Balancing cost
JC-00123,J-24017,2026-05-26,2026-05,260300,Labor/Material,45818.88,Other,HIST-P-1001-260300-5,Historical Feeders & Distribution cost
JC-00124,J-24017,2026-05-26,2026-05,260400,Labor/Material,6563.47,Other,HIST-P-1001-260400-5,Historical Branch Wiring cost
JC-00125,J-24017,2026-05-26,2026-05,260500,Labor/Material,31121.97,Other,HIST-P-1001-260500-5,Historical Lighting cost
JC-00126,J-24017,2026-05-26,2026-05,260600,Equipment,44950.11,Other,HIST-P-1001-260600-5,Historical Switchgear cost
JC-00127,J-24017,2026-05-26,2026-05,260700,Subcontract,13122.83,Other,HIST-P-1001-260700-5,Historical Controls / Low Voltage cost
JC-00128,J-24017,2026-05-26,2026-05,260800,Other,13239.15,Other,HIST-P-1001-260800-5,Historical Temporary Power cost
JC-00129,J-24042,2026-05-26,2026-05,220300,Labor/Material,14325.45,Other,HIST-P-1003-220300-5,Historical Domestic Water Piping cost
JC-00130,J-24042,2026-05-26,2026-05,220400,Labor/Material,22609.81,Other,HIST-P-1003-220400-5,Historical Sanitary / Storm Piping cost
JC-00131,J-24042,2026-05-26,2026-05,220500,Material,9717.62,Other,HIST-P-1003-220500-5,Historical Fixtures cost
JC-00132,J-24042,2026-05-26,2026-05,220600,Equipment,19766.69,Other,HIST-P-1003-220600-5,Historical Pumps / Equipment cost
JC-00133,J-24042,2026-05-26,2026-05,220700,Subcontract,3887.73,Other,HIST-P-1003-220700-5,Historical Specialty Systems cost
JC-00134,J-24042,2026-05-26,2026-05,220800,Material,4028.83,Other,HIST-P-1003-220800-5,Historical Hangers / Supports cost
JC-00135,J-23874,2026-05-31,2026-05,260100,Labor,91691.2,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00136,J-23874,2026-05-31,2026-05,260200,Labor,316195.0,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00137,J-23874,2026-05-31,2026-05,260300,Labor/Material,70724.2,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00138,J-23874,2026-05-31,2026-05,260400,Labor/Material,95026.8,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00139,J-23874,2026-05-31,2026-05,260500,Labor/Material,55654.2,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00140,J-23874,2026-05-31,2026-05,260700,Subcontract,4142.4,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00141,J-23874,2026-05-31,2026-05,260800,Other,8889.9,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00142,J-23874,2026-05-31,2026-05,260900,Labor,61195.6,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00143,J-23874,2026-05-31,2026-05,269900,Other,8270.6,Payroll,PR-P-1004-2026-05,Monthly payroll allocation
JC-00144,J-23955,2026-05-31,2026-05,220100,Labor,49817.2,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00145,J-23955,2026-05-31,2026-05,220200,Labor,197062.8,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00146,J-23955,2026-05-31,2026-05,220300,Labor/Material,62562.0,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00147,J-23955,2026-05-31,2026-05,220400,Labor/Material,52086.0,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00148,J-23955,2026-05-31,2026-05,220500,Material,10483.2,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00149,J-23955,2026-05-31,2026-05,220700,Subcontract,2831.6,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00150,J-23955,2026-05-31,2026-05,220800,Material,6220.8,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00151,J-23955,2026-05-31,2026-05,220900,Labor,25446.0,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00152,J-23955,2026-05-31,2026-05,229900,Other,3765.6,Payroll,PR-P-1006-2026-05,Monthly payroll allocation
JC-00153,J-23981,2026-05-31,2026-05,230100,Labor,51243.2,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00154,J-23981,2026-05-31,2026-05,230200,Labor,163830.4,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00155,J-23981,2026-05-31,2026-05,230300,Labor/Material,56210.4,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00156,J-23981,2026-05-31,2026-05,230400,Labor/Material,55057.6,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00157,J-23981,2026-05-31,2026-05,230600,Subcontract,4492.8,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00158,J-23981,2026-05-31,2026-05,230700,Subcontract,2404.4,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00159,J-23981,2026-05-31,2026-05,230800,Material,11893.2,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00160,J-23981,2026-05-31,2026-05,230900,Subcontract,3456.0,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00161,J-23981,2026-05-31,2026-05,239900,Other,5112.0,Payroll,PR-P-1002-2026-05,Monthly payroll allocation
JC-00162,J-24008,2026-05-31,2026-05,230100,Labor,28511.2,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00163,J-24008,2026-05-31,2026-05,230200,Labor,100364.4,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00164,J-24008,2026-05-31,2026-05,230300,Labor/Material,30752.0,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00165,J-24008,2026-05-31,2026-05,230400,Labor/Material,29724.8,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00166,J-24008,2026-05-31,2026-05,230600,Subcontract,2199.6,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00167,J-24008,2026-05-31,2026-05,230700,Subcontract,1591.2,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00168,J-24008,2026-05-31,2026-05,230800,Material,6462.4,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00169,J-24008,2026-05-31,2026-05,230900,Subcontract,1728.0,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00170,J-24008,2026-05-31,2026-05,239900,Other,2419.2,Payroll,PR-P-1005-2026-05,Monthly payroll allocation
JC-00171,J-24017,2026-05-31,2026-05,260100,Labor,52425.4,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00172,J-24017,2026-05-31,2026-05,260200,Labor,160465.2,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00173,J-24017,2026-05-31,2026-05,260300,Labor/Material,30254.3,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00174,J-24017,2026-05-31,2026-05,260400,Labor/Material,46800.0,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00175,J-24017,2026-05-31,2026-05,260500,Labor/Material,26304.0,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00176,J-24017,2026-05-31,2026-05,260700,Subcontract,2117.4,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00177,J-24017,2026-05-31,2026-05,260800,Other,5072.1,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00178,J-24017,2026-05-31,2026-05,260900,Labor,28864.4,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00179,J-24017,2026-05-31,2026-05,269900,Other,3443.7,Payroll,PR-P-1001-2026-05,Monthly payroll allocation
JC-00180,J-24042,2026-05-31,2026-05,220100,Labor,26886.4,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00181,J-24042,2026-05-31,2026-05,220200,Labor,87609.6,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00182,J-24042,2026-05-31,2026-05,220300,Labor/Material,23078.4,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00183,J-24042,2026-05-31,2026-05,220400,Labor/Material,20046.8,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00184,J-24042,2026-05-31,2026-05,220500,Material,3385.2,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00185,J-24042,2026-05-31,2026-05,220700,Subcontract,781.2,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00186,J-24042,2026-05-31,2026-05,220800,Material,2120.4,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00187,J-24042,2026-05-31,2026-05,220900,Labor,12686.4,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00188,J-24042,2026-05-31,2026-05,229900,Other,1599.6,Payroll,PR-P-1003-2026-05,Monthly payroll allocation
JC-00189,J-23874,2026-06-26,2026-06,260300,Labor/Material,128708.48,Other,HIST-P-1004-260300-6,Historical Feeders & Distribution cost
JC-00190,J-23874,2026-06-26,2026-06,260400,Labor/Material,59079.22,Other,HIST-P-1004-260400-6,Historical Branch Wiring cost
JC-00191,J-23874,2026-06-26,2026-06,260500,Labor/Material,85061.23,Other,HIST-P-1004-260500-6,Historical Lighting cost
JC-00192,J-23874,2026-06-26,2026-06,260600,Equipment,125312.54,Other,HIST-P-1004-260600-6,Historical Switchgear cost
JC-00193,J-23874,2026-06-26,2026-06,260700,Subcontract,48536.6,Other,HIST-P-1004-260700-6,Historical Controls / Low Voltage cost
JC-00194,J-23874,2026-06-26,2026-06,260800,Other,38178.79,Other,HIST-P-1004-260800-6,Historical Temporary Power cost
JC-00195,J-23874,2026-06-26,2026-06,269900,Other,38184.77,Other,HIST-P-1004-269900-6,Historical Other Direct Cost cost
JC-00196,J-23955,2026-06-26,2026-06,220300,Labor/Material,112945.43,Other,HIST-P-1006-220300-6,Historical Domestic Water Piping cost
JC-00197,J-23955,2026-06-26,2026-06,220400,Labor/Material,29792.2,Other,HIST-P-1006-220400-6,Historical Sanitary / Storm Piping cost
JC-00198,J-23955,2026-06-26,2026-06,220500,Material,27768.77,Other,HIST-P-1006-220500-6,Historical Fixtures cost
JC-00199,J-23955,2026-06-26,2026-06,220600,Equipment,8865.12,Other,HIST-P-1006-220600-6,Historical Pumps / Equipment cost
JC-00200,J-23955,2026-06-26,2026-06,220700,Subcontract,40642.17,Other,HIST-P-1006-220700-6,Historical Specialty Systems cost
JC-00201,J-23955,2026-06-26,2026-06,220800,Material,38143.82,Other,HIST-P-1006-220800-6,Historical Hangers / Supports cost
JC-00202,J-23955,2026-06-26,2026-06,229900,Other,18640.53,Other,HIST-P-1006-229900-6,Historical Other Direct Cost cost
JC-00203,J-23981,2026-06-26,2026-06,230300,Labor/Material,27657.93,Other,HIST-P-1002-230300-6,Historical Ductwork cost
JC-00204,J-23981,2026-06-26,2026-06,230400,Labor/Material,65036.45,Other,HIST-P-1002-230400-6,Historical Hydronic Piping cost
JC-00205,J-23981,2026-06-26,2026-06,230500,Equipment,107093.57,Other,HIST-P-1002-230500-6,Historical Air Handling Equipment cost
JC-00206,J-23981,2026-06-26,2026-06,230600,Subcontract,63774.88,Other,HIST-P-1002-230600-6,Historical Controls cost
JC-00207,J-23981,2026-06-26,2026-06,230700,Subcontract,9396.65,Other,HIST-P-1002-230700-6,Historical Insulation cost
JC-00208,J-23981,2026-06-26,2026-06,230800,Material,18286.35,Other,HIST-P-1002-230800-6,Historical Sheet Metal Fabrication cost
JC-00209,J-23981,2026-06-26,2026-06,230900,Subcontract,11051.68,Other,HIST-P-1002-230900-6,Historical Testing / Balancing cost
JC-00210,J-24008,2026-06-26,2026-06,230300,Labor/Material,33291.22,Other,HIST-P-1005-230300-6,Historical Ductwork cost
JC-00211,J-24008,2026-06-26,2026-06,230400,Labor/Material,3523.86,Other,HIST-P-1005-230400-6,Historical Hydronic Piping cost
