receipt_id,commitment_id,erp_job_id,receipt_date,received_value,description
RCV-00076,PO-0038,J-23955,2026-07-22,100125.0,Domestic Water Piping package
RCV-00077,PO-0039,J-23955,2026-06-25,169950.0,Sanitary / Storm Piping package
RCV-00078,PO-0039,J-23955,2026-07-22,139050.0,Sanitary / Storm Piping package
RCV-00079,PO-0040,J-23955,2026-06-25,157850.0,Fixtures package
RCV-00080,PO-0040,J-23955,2026-07-22,129150.0,Fixtures package
RCV-00081,PO-0041,J-23955,2026-06-25,134750.0,Pumps / Equipment package
RCV-00082,PO-0041,J-23955,2026-07-22,110250.0,Pumps / Equipment package
RCV-00083,PO-0042,J-23955,2026-06-25,70400.0,Specialty Systems package
RCV-00084,PO-0042,J-23955,2026-07-22,57600.0,Specialty Systems package
RCV-00085,PO-0043,J-23955,2026-06-25,44825.0,Hangers / Supports package
RCV-00086,PO-0043,J-23955,2026-07-22,36675.0,Hangers / Supports package
RCV-00087,PO-0044,J-23955,2026-06-25,67650.0,Other Direct Cost package
RCV-00088,PO-0044,J-23955,2026-07-22,55350.0,Other Direct Cost package
