employee_id,employee_name,trade,role,hourly_cost_rate,active
E-146,Mechanical Field Employee 056,Mechanical/HVAC,Journeyman,72,True
E-147,Mechanical Field Employee 057,Mechanical/HVAC,Journeyman,62,True
E-148,Mechanical Field Employee 058,Mechanical/HVAC,Journeyman,68,True
E-149,Mechanical Field Employee 059,Mechanical/HVAC,Journeyman,60,True
E-150,Mechanical Field Employee 060,Mechanical/HVAC,Journeyman,66,True
E-151,Mechanical Field Employee 061,Mechanical/HVAC,Foreman,78,True
E-152,Mechanical Field Employee 062,Mechanical/HVAC,Journeyman,64,True
E-153,Mechanical Field Employee 063,Mechanical/HVAC,Journeyman,72,True
E-154,Mechanical Field Employee 064,Mechanical/HVAC,Apprentice,52,True
E-155,Mechanical Field Employee 065,Mechanical/HVAC,Journeyman,68,True
E-156,Mechanical Field Employee 066,Mechanical/HVAC,Journeyman,60,True
E-157,Mechanical Field Employee 067,Mechanical/HVAC,Journeyman,66,True
E-158,Mechanical Field Employee 068,Mechanical/HVAC,Journeyman,78,True
E-159,Mechanical Field Employee 069,Mechanical/HVAC,Journeyman,64,True
E-160,Mechanical Field Employee 070,Mechanical/HVAC,Journeyman,72,True
E-161,Mechanical Field Employee 071,Mechanical/HVAC,Journeyman,62,True
E-162,Mechanical Field Employee 072,Mechanical/HVAC,Journeyman,68,True
E-163,Mechanical Field Employee 073,Mechanical/HVAC,Foreman,78,True
E-164,Mechanical Field Employee 074,Mechanical/HVAC,Journeyman,66,True
E-165,Mechanical Field Employee 075,Mechanical/HVAC,Journeyman,78,True
E-166,Mechanical Field Employee 076,Mechanical/HVAC,Journeyman,64,True
E-167,Mechanical Field Employee 077,Mechanical/HVAC,Journeyman,72,True
E-168,Mechanical Field Employee 078,Mechanical/HVAC,Journeyman,62,True
E-169,Mechanical Field Employee 079,Mechanical/HVAC,Journeyman,68,True
E-170,Mechanical Field Employee 080,Mechanical/HVAC,Journeyman,60,True
E-171,Mechanical Field Employee 081,Mechanical/HVAC,Journeyman,66,True
E-172,Mechanical Field Employee 082,Mechanical/HVAC,Apprentice,52,True
E-173,Mechanical Field Employee 083,Mechanical/HVAC,Journeyman,64,True
E-174,Mechanical Field Employee 084,Mechanical/HVAC,Journeyman,72,True
E-175,Mechanical Field Employee 085,Mechanical/HVAC,Foreman,78,True
E-176,Mechanical Field Employee 086,Mechanical/HVAC,Journeyman,68,True
E-177,Mechanical Field Employee 087,Mechanical/HVAC,Journeyman,60,True
E-178,Mechanical Field Employee 088,Mechanical/HVAC,Journeyman,66,True
E-179,Mechanical Field Employee 089,Mechanical/HVAC,Journeyman,78,True
E-180,Mechanical Field Employee 090,Mechanical/HVAC,Journeyman,64,True
E-181,Plumbing Field Employee 001,Plumbing,Foreman,78,True
E-182,Plumbing Field Employee 002,Plumbing,Journeyman,68,True
E-183,Plumbing Field Employee 003,Plumbing,Journeyman,60,True
E-184,Plumbing Field Employee 004,Plumbing,Journeyman,66,True
E-185,Plumbing Field Employee 005,Plumbing,Journeyman,78,True
E-186,Plumbing Field Employee 006,Plumbing,Journeyman,64,True
E-187,Plumbing Field Employee 007,Plumbing,Journeyman,72,True
E-188,Plumbing Field Employee 008,Plumbing,Journeyman,62,True
E-189,Plumbing Field Employee 009,Plumbing,Journeyman,68,True
E-190,Plumbing Field Employee 010,Plumbing,Apprentice,52,True
E-191,Plumbing Field Employee 011,Plumbing,Journeyman,66,True
E-192,Plumbing Field Employee 012,Plumbing,Journeyman,78,True
E-193,Plumbing Field Employee 013,Plumbing,Foreman,78,True
E-194,Plumbing Field Employee 014,Plumbing,Journeyman,72,True
E-195,Plumbing Field Employee 015,Plumbing,Journeyman,62,True
E-196,Plumbing Field Employee 016,Plumbing,Journeyman,68,True
E-197,Plumbing Field Employee 017,Plumbing,Journeyman,60,True
E-198,Plumbing Field Employee 018,Plumbing,Journeyman,66,True
E-199,Plumbing Field Employee 019,Plumbing,Apprentice,52,True
E-200,Plumbing Field Employee 020,Plumbing,Journeyman,64,True
E-201,Plumbing Field Employee 021,Plumbing,Journeyman,72,True
E-202,Plumbing Field Employee 022,Plumbing,Journeyman,62,True
E-203,Plumbing Field Employee 023,Plumbing,Journeyman,68,True
E-204,Plumbing Field Employee 024,Plumbing,Journeyman,60,True
E-205,Plumbing Field Employee 025,Plumbing,Foreman,78,True
E-206,Plumbing Field Employee 026,Plumbing,Journeyman,78,True
E-207,Plumbing Field Employee 027,Plumbing,Journeyman,64,True
E-208,Plumbing Field Employee 028,Plumbing,Apprentice,52,True
E-209,Plumbing Field Employee 029,Plumbing,Journeyman,62,True
E-210,Plumbing Field Employee 030,Plumbing,Journeyman,68,True
E-211,Plumbing Field Employee 031,Plumbing,Journeyman,60,True
E-212,Plumbing Field Employee 032,Plumbing,Journeyman,66,True
E-213,Plumbing Field Employee 033,Plumbing,Journeyman,78,True
E-214,Plumbing Field Employee 034,Plumbing,Journeyman,64,True
E-215,Plumbing Field Employee 035,Plumbing,Journeyman,72,True
E-216,Plumbing Field Employee 036,Plumbing,Journeyman,62,True
E-217,Plumbing Field Employee 037,Plumbing,Foreman,78,True
E-218,Plumbing Field Employee 038,Plumbing,Journeyman,60,True
E-219,Plumbing Field Employee 039,Plumbing,Journeyman,66,True
E-220,Plumbing Field Employee 040,Plumbing,Journeyman,78,True
E-221,Plumbing Field Employee 041,Plumbing,Journeyman,64,True
E-222,Plumbing Field Employee 042,Plumbing,Journeyman,72,True
E-223,Plumbing Field Employee 043,Plumbing,Journeyman,62,True
E-224,Plumbing Field Employee 044,Plumbing,Journeyman,68,True
E-225,Plumbing Field Employee 045,Plumbing,Journeyman,60,True
E-226,Plumbing Field Employee 046,Plumbing,Apprentice,52,True
E-227,Plumbing Field Employee 047,Plumbing,Journeyman,78,True
E-228,Plumbing Field Employee 048,Plumbing,Journeyman,64,True
E-229,Plumbing Field Employee 049,Plumbing,Foreman,78,True
E-230,Plumbing Field Employee 050,Plumbing,Journeyman,62,True
E-231,Plumbing Field Employee 051,Plumbing,Journeyman,68,True
E-232,Plumbing Field Employee 052,Plumbing,Journeyman,60,True
E-233,Plumbing Field Employee 053,Plumbing,Journeyman,66,True
E-234,Plumbing Field Employee 054,Plumbing,Journeyman,78,True
E-235,Plumbing Field Employee 055,Plumbing,Apprentice,52,True
E-236,Plumbing Field Employee 056,Plumbing,Journeyman,72,True
E-237,Plumbing Field Employee 057,Plumbing,Journeyman,62,True
E-238,Plumbing Field Employee 058,Plumbing,Journeyman,68,True
E-239,Plumbing Field Employee 059,Plumbing,Journeyman,60,True
E-240,Plumbing Field Employee 060,Plumbing,Journeyman,66,True
E-241,Plumbing Field Employee 061,Plumbing,Foreman,78,True
E-242,Plumbing Field Employee 062,Plumbing,Journeyman,64,True
E-243,Plumbing Field Employee 063,Plumbing,Journeyman,72,True
E-244,Plumbing Field Employee 064,Plumbing,Apprentice,52,True
E-245,Plumbing Field Employee 065,Plumbing,Journeyman,68,True
E-246,Plumbing Field Employee 066,Plumbing,Journeyman,60,True
E-247,Plumbing Field Employee 067,Plumbing,Journeyman,66,True
E-248,Plumbing Field Employee 068,Plumbing,Journeyman,78,True
E-249,Plumbing Field Employee 069,Plumbing,Journeyman,64,True
E-250,Plumbing Field Employee 070,Plumbing,Journeyman,72,True
E-251,Plumbing Field Employee 071,Plumbing,Journeyman,62,True
E-252,Plumbing Field Employee 072,Plumbing,Journeyman,68,True
E-253,Plumbing Field Employee 073,Plumbing,Foreman,78,True
E-254,Plumbing Field Employee 074,Plumbing,Journeyman,66,True
E-255,Plumbing Field Employee 075,Plumbing,Journeyman,78,True
E-256,Plumbing Field Employee 076,Plumbing,Journeyman,64,True
E-257,Plumbing Field Employee 077,Plumbing,Journeyman,72,True
E-258,Plumbing Field Employee 078,Plumbing,Journeyman,62,True
E-259,Plumbing Field Employee 079,Plumbing,Journeyman,68,True
E-260,Plumbing Field Employee 080,Plumbing,Journeyman,60,True
E-261,Plumbing Field Employee 081,Plumbing,Journeyman,66,True
E-262,Plumbing Field Employee 082,Plumbing,Apprentice,52,True
E-263,Plumbing Field Employee 083,Plumbing,Journeyman,64,True
E-264,Plumbing Field Employee 084,Plumbing,Journeyman,72,True
E-265,Plumbing Field Employee 085,Plumbing,Foreman,78,True
E-266,Plumbing Field Employee 086,Plumbing,Journeyman,68,True
E-267,Plumbing Field Employee 087,Plumbing,Journeyman,60,True
E-268,Plumbing Field Employee 088,Plumbing,Journeyman,66,True
E-269,Plumbing Field Employee 089,Plumbing,Journeyman,78,True
E-270,Plumbing Field Employee 090,Plumbing,Journeyman,64,True
